NRO_ORDEN;FECHA_ORDEN;FECHA_RECEP;NRO_RUC;NOMBRE_PROVEEDOR;PRODUCTO;UNIDAD_DE_MEDIDA;CANTIDAD;PRECIO_UNITARIO;PRECIO_TOTAL;CATEGORIA;DEPENDENCIA
223;26/10/2020;9/12/2020;20601023025;PARACAIDAS_SOLUCIONES_EDITORIALES_S.A.C.;LIBRO_LOS_ZAPATOS_DE_BIANCIOTTI;UNIDAD;;31;217;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
223;26/10/2020;9/12/2020;20601023025;PARACAIDAS_SOLUCIONES_EDITORIALES_S.A.C.;LIBRO_VENAS_NEGRAS:_LA_POETICA_DE_ROCOçO_SILVA_SANTISTEBAN;UNIDAD;;31;217;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
215;5/08/2021;29/10/2021;20535555860;CORPORACION_CANESPA_SAC;LIBRO_LA_FRONTERA_DISPUTADA:_LA_RUTA_A_LA_SENTENCIA_DE_LA_HAYA;UNIDAD;;31;217;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
217;5/08/2021;29/10/2021;20338974991;EDITORIAL_PLANETA_S.A.;LIBRO_ETICA_PARA_AMADOR;UNIDAD;;31;217;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
218;5/08/2021;29/10/2021;20338974991;EDITORIAL_PLANETA_S.A.;LIBRO_EL_ESPEJO_DEL_LIDER;UNIDAD;;31;217;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
218;5/08/2021;29/10/2021;20338974991;EDITORIAL_PLANETA_S.A.;LIBRO_EL_CAMINO_DEL_LOçDER._HISTORIASANCESTRALES_Y_VIVENCIAS_PERSONALES;UNIDAD;;31;217;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
176;15/10/2020;17/12/2020;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_EL_WASWA_ESPAOëOL_QUECHUA_INGLES;UNIDAD;;31;217;DESARROLLO_DE_COLECCIONES;
178;15/10/2020;;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_QUILLATOPA_UN_SUEOëO_DE_MIL_AOëOS:_CUENTOS;UNIDAD;;31;217;DESARROLLO_DE_COLECCIONES;
176;15/10/2020;17/12/2020;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_MAD:_SEXO_AMOR_Y_OTROS_PLACERES_DE_LA_LENGUA;UNIDAD;7;31;217;;
180;15/10/2020;21/12/2020;20298841615;LENGUAJE_Y_COMERCIO_S.R.LTDA.;LIBRO_LA_HUERTA_CUENTO_CON_RIMAS:_ESPAOëOL-QUECHUA-INGLES;UNIDAD;7;31;217;;
